迭代次数,总损失,合成监督损失,真实伪标签损失,正伪标签比例,负伪标签比例,忽略比例,平均预测熵,正类概率阈值,负类概率阈值,残差阈值
21,0.7132232785224915,0.6935333609580994,0.13126599788665771,0.0006561279296875,0.25,0.7493438720703125,0.4168691039085388,0.72,0.12935099005699158,0.020379861816763878
22,0.7610600590705872,0.7396937012672424,0.13596762716770172,0.002044677734375,0.25,0.747955322265625,0.42001569271087646,0.72,0.1286451667547226,0.022063184529542923
23,0.7120682597160339,0.6865478754043579,0.15534144639968872,0.0038909912109375,0.25,0.7461090087890625,0.41773515939712524,0.72,0.13043765723705292,0.01930374838411808
24,0.6265470385551453,0.6041858196258545,0.13044042885303497,0.0002288818359375,0.25,0.7497711181640625,0.4169151782989502,0.72,0.1306391954421997,0.0194216500967741
25,0.6751715540885925,0.6524030566215515,0.12750370800495148,0.0016937255859375,0.25,0.7483062744140625,0.419907808303833,0.72,0.12701144814491272,0.02018764242529869
26,0.7298805117607117,0.7043367028236389,0.1375436931848526,0.0039520263671875,0.25,0.7460479736328125,0.42240744829177856,0.72,0.12872572243213654,0.023625407367944717
27,0.6470733880996704,0.6208899021148682,0.13576629757881165,0.002655029296875,0.25,0.747344970703125,0.41737839579582214,0.72,0.12975458800792694,0.018841315060853958
28,0.7143153548240662,0.6886142492294312,0.1285056471824646,0.001708984375,0.25,0.748291015625,0.41926297545433044,0.72,0.12771064043045044,0.02456594817340374
29,0.757492184638977,0.7307276129722595,0.1292082816362381,0.001220703125,0.25,0.748779296875,0.41698378324508667,0.72,0.12888939678668976,0.021625174209475517
30,0.7524257302284241,0.7254955172538757,0.12567438185214996,0.0013275146484375,0.25,0.7486724853515625,0.41969043016433716,0.72,0.12640614807605743,0.022549519315361977
31,0.7220852375030518,0.6945934295654297,0.12415651232004166,0.000457763671875,0.25,0.749542236328125,0.41651204228401184,0.72,0.12875564396381378,0.022582262754440308
32,0.728497326374054,0.7000426650047302,0.12448923289775848,0.0009765625,0.25,0.7490234375,0.41692018508911133,0.72,0.12892232835292816,0.02184390462934971
33,0.7723063230514526,0.7421892285346985,0.12776942551136017,0.000946044921875,0.25,0.749053955078125,0.41995295882225037,0.72,0.12675884366035461,0.02729962207376957
34,0.5921114087104797,0.5601282119750977,0.13169553875923157,0.0021514892578125,0.25,0.7478485107421875,0.4167593717575073,0.72,0.1289404034614563,0.021843846887350082
35,0.7019152641296387,0.6709760427474976,0.12375697493553162,0.00103759765625,0.25,0.74896240234375,0.4185143709182739,0.72,0.12666812539100647,0.022796303033828735
36,0.6784369945526123,0.645166277885437,0.12938623130321503,0.003509521484375,0.25,0.746490478515625,0.42204752564430237,0.72,0.1256764978170395,0.027515586465597153
37,0.7515252232551575,0.7146033644676208,0.1397043913602829,0.0045928955078125,0.25,0.7454071044921875,0.41865381598472595,0.72,0.12914249300956726,0.017176518216729164
38,0.7665787935256958,0.7326686978340149,0.12493202090263367,0.00250244140625,0.25,0.74749755859375,0.41950172185897827,0.72,0.12707339227199554,0.02083941549062729
39,0.6801349520683289,0.6434168815612793,0.13180838525295258,0.0051422119140625,0.25,0.7448577880859375,0.4205561578273773,0.72,0.1279560774564743,0.018848752602934837
40,0.7290199995040894,0.6943787336349487,0.12124436348676682,0.002105712890625,0.25,0.747894287109375,0.41838014125823975,0.72,0.12773992121219635,0.02207810990512371
41,0.6993502974510193,0.6640953421592712,0.12038268893957138,0.00115966796875,0.25,0.74884033203125,0.417994886636734,0.72,0.12726931273937225,0.02083617076277733
42,0.724979817867279,0.6896366477012634,0.11781056225299835,0.00445556640625,0.25,0.74554443359375,0.4216735064983368,0.72,0.12678107619285583,0.025916896760463715
43,0.6825595498085022,0.6482253670692444,0.11178566515445709,0.001617431640625,0.25,0.748382568359375,0.4180818796157837,0.72,0.12647387385368347,0.02346108667552471
44,0.6682769656181335,0.6330961585044861,0.11193898320198059,0.0009613037109375,0.25,0.7490386962890625,0.4184035062789917,0.72,0.12677490711212158,0.02140028402209282
45,0.7381179332733154,0.6988586783409119,0.12213992327451706,0.0037689208984375,0.25,0.7462310791015625,0.42086535692214966,0.72,0.12666335701942444,0.025579873472452164
46,0.7632514834403992,0.7261807322502136,0.1128239631652832,0.0015106201171875,0.25,0.7484893798828125,0.41761308908462524,0.72,0.12633799016475677,0.02409672737121582
47,0.6223448514938354,0.5815998315811157,0.12136821448802948,0.0024261474609375,0.25,0.7475738525390625,0.4187180697917938,0.72,0.12741075456142426,0.019669653847813606
48,0.7229825854301453,0.6832417249679565,0.1159108355641365,0.0025634765625,0.25,0.7474365234375,0.4213424324989319,0.72,0.12498779594898224,0.023267092183232307
49,0.7406376600265503,0.7017184495925903,0.111197829246521,0.0019073486328125,0.25,0.7480926513671875,0.41751331090927124,0.72,0.1276237964630127,0.019282598048448563
50,0.7816981077194214,0.7420750856399536,0.11320856213569641,0.001739501953125,0.25,0.748260498046875,0.4163867235183716,0.72,0.12754830718040466,0.01982911117374897
51,0.7977028489112854,0.7534467577934265,0.12644600868225098,0.007080078125,0.25,0.742919921875,0.42287322878837585,0.7798672914505005,0.12705668807029724,0.023881904780864716
52,0.7385004758834839,0.6992553472518921,0.11212891340255737,0.001739501953125,0.25,0.748260498046875,0.41578924655914307,0.72,0.1272517442703247,0.019091667607426643
53,0.7840026021003723,0.7435399293899536,0.11560768634080887,0.003387451171875,0.25,0.746612548828125,0.4172653555870056,0.72,0.1266595870256424,0.020654836669564247
54,0.7259230613708496,0.68300461769104,0.12262411415576935,0.002197265625,0.25,0.747802734375,0.41665661334991455,0.72,0.12693005800247192,0.022526882588863373
55,0.7650111317634583,0.7261239886283875,0.11110605299472809,0.002105712890625,0.25,0.747894287109375,0.4175944924354553,0.72,0.12546716630458832,0.02279558777809143
56,0.7887085676193237,0.7489152550697327,0.1136951893568039,0.00360107421875,0.25,0.74639892578125,0.4187302887439728,0.72,0.12528866529464722,0.021013997495174408
57,0.7407812476158142,0.7007243037223816,0.1144484132528305,0.006988525390625,0.25,0.743011474609375,0.4212281405925751,0.7300917506217957,0.12641146779060364,0.01791997067630291
58,0.770605206489563,0.7345417141914368,0.10303850471973419,0.0016021728515625,0.2500152587890625,0.748382568359375,0.4177164137363434,0.72,0.12465319782495499,0.021492671221494675
59,0.789953887462616,0.7540896534919739,0.102469302713871,0.0006561279296875,0.25,0.7493438720703125,0.41586416959762573,0.72,0.12582699954509735,0.02264522761106491
60,0.7852410078048706,0.7492732405662537,0.10276500135660172,0.003173828125,0.25,0.746826171875,0.41823822259902954,0.72,0.12403310835361481,0.020010460168123245
61,0.6950433254241943,0.6597957015037537,0.1007075384259224,0.00030517578125,0.25,0.74969482421875,0.4155893325805664,0.72,0.1255401372909546,0.023739077150821686
62,0.8402056097984314,0.8021876811981201,0.10862260311841965,0.0024871826171875,0.25,0.7475128173828125,0.41526585817337036,0.72,0.12564818561077118,0.021699218079447746
63,0.7129676938056946,0.675022304058075,0.10841535776853561,0.0048828125,0.25,0.7451171875,0.41689831018447876,0.72,0.12529657781124115,0.02177981659770012
64,0.790524959564209,0.7563488483428955,0.097646065056324,0.0010223388671875,0.25,0.7489776611328125,0.41476720571517944,0.72,0.1255967766046524,0.022630611434578896
65,0.6619313359260559,0.6221445202827454,0.11367667466402054,0.005615234375,0.25,0.744384765625,0.4175538122653961,0.72,0.12410123646259308,0.019536305218935013
66,0.6937560439109802,0.6588292717933655,0.0997907891869545,0.001129150390625,0.25,0.748870849609375,0.4141964316368103,0.72,0.12561051547527313,0.02077711746096611
67,0.6805622577667236,0.6482153534889221,0.09241978824138641,0.002685546875,0.25,0.747314453125,0.418182909488678,0.72,0.12242747843265533,0.022099077701568604
68,0.6542159914970398,0.6168521046638489,0.10675390809774399,0.0077667236328125,0.25,0.7422332763671875,0.41716763377189636,0.7331137657165527,0.12530677020549774,0.01830378919839859
69,0.7356501817703247,0.6956890821456909,0.11417463421821594,0.005340576171875,0.25,0.744659423828125,0.4141889214515686,0.72,0.12772607803344727,0.016112087294459343
70,0.8295180201530457,0.7946728467941284,0.09955756366252899,0.003143310546875,0.25,0.746856689453125,0.4159781336784363,0.72,0.12337882816791534,0.022586045786738396
71,0.7525852918624878,0.7197948694229126,0.09368686378002167,0.0015716552734375,0.25,0.7484283447265625,0.4155115485191345,0.72,0.123741015791893,0.02122602052986622
72,0.7419132590293884,0.7064514756202698,0.1013193279504776,0.00347900390625,0.25,0.74652099609375,0.4157576262950897,0.72,0.12556377053260803,0.019028224050998688
73,0.7165327072143555,0.6831390857696533,0.09541033208370209,0.00311279296875,0.25,0.74688720703125,0.4148942530155182,0.72,0.12372319400310516,0.022434676066040993
74,0.7446945905685425,0.7078303098678589,0.10532650351524353,0.0043792724609375,0.25,0.7456207275390625,0.41531506180763245,0.72,0.12569157779216766,0.019322268664836884
75,0.6464515328407288,0.6103287935256958,0.10320783406496048,0.006256103515625,0.25,0.743743896484375,0.4187992215156555,0.7792190909385681,0.12337811291217804,0.020775150507688522
76,0.7241163849830627,0.6881782412528992,0.10268048942089081,0.0040740966796875,0.25,0.7459259033203125,0.41658079624176025,0.72,0.12227410823106766,0.023941250517964363
77,0.6865257024765015,0.6427140831947327,0.12517602741718292,0.006866455078125,0.25,0.743133544921875,0.41881346702575684,0.7709174752235413,0.12295804172754288,0.021854588761925697
78,0.6911695599555969,0.6564257144927979,0.09926817566156387,0.0029144287109375,0.2500152587890625,0.7470703125,0.41282033920288086,0.72,0.12528987228870392,0.021279949694871902
79,0.6832246780395508,0.6471380591392517,0.1031046062707901,0.0045166015625,0.25,0.7454833984375,0.4170078635215759,0.72,0.12226226925849915,0.020933857187628746
80,0.7073147296905518,0.6750404238700867,0.09221228212118149,0.001495361328125,0.25,0.748504638671875,0.413943350315094,0.72,0.12308068573474884,0.021071676164865494
81,0.7945774793624878,0.7619396448135376,0.09325088560581207,0.000946044921875,0.25,0.749053955078125,0.4117802083492279,0.72,0.12531907856464386,0.01972203701734543
82,0.7974377870559692,0.761018693447113,0.10405460745096207,0.004119873046875,0.25,0.745880126953125,0.4147624969482422,0.72,0.1217857226729393,0.021823640912771225
83,0.6128027439117432,0.5762748122215271,0.10436559468507767,0.00762939453125,0.25,0.74237060546875,0.4173869490623474,0.7861217260360718,0.12356971204280853,0.02102469652891159
84,0.7328750491142273,0.7015942931175232,0.08937358111143112,0.0035400390625,0.25,0.7464599609375,0.4143119156360626,0.72,0.1224365085363388,0.02358008176088333
85,0.6020906567573547,0.5668281316757202,0.10075011849403381,0.0077667236328125,0.25,0.7422332763671875,0.41727134585380554,0.7713319063186646,0.12181908637285233,0.023510977625846863
86,0.6622790098190308,0.629248321056366,0.09437341243028641,0.004150390625,0.25,0.745849609375,0.41651397943496704,0.72,0.1203160434961319,0.02276524528861046
87,0.697476327419281,0.6592435836791992,0.10923638194799423,0.0030059814453125,0.25,0.7469940185546875,0.41358819603919983,0.72,0.12167546153068542,0.019453950226306915
88,0.6079016327857971,0.576353907585144,0.0901363417506218,0.00286865234375,0.25,0.74713134765625,0.4128754734992981,0.72,0.1226726546883583,0.01978236995637417
89,0.709003746509552,0.675944983959198,0.09445368498563766,0.0072784423828125,0.25,0.7427215576171875,0.414975106716156,0.7674260139465332,0.12371303141117096,0.01878591626882553
90,0.823883056640625,0.7943444848060608,0.0843958780169487,0.0022125244140625,0.25,0.7477874755859375,0.41334232687950134,0.72,0.12113815546035767,0.020654909312725067
91,0.6974385380744934,0.660267174243927,0.10620387643575668,0.007232666015625,0.25,0.742767333984375,0.4162958860397339,0.7357802987098694,0.11979541182518005,0.025665417313575745
92,0.7132771015167236,0.6844200491905212,0.08244875818490982,0.004486083984375,0.25,0.745513916015625,0.4140506386756897,0.72,0.1206744834780693,0.019654445350170135
93,0.6614306569099426,0.6315875053405762,0.08526621758937836,0.0015716552734375,0.25,0.7484283447265625,0.41075971722602844,0.72,0.1215621829032898,0.01969878375530243
94,0.6538827419281006,0.6242226958274841,0.0847429409623146,0.002960205078125,0.25,0.747039794921875,0.412234365940094,0.72,0.12122237682342529,0.02139989286661148
